heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
MSM-Mean Exact;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;451;;;;;
MSM-Mean Exact;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;453;;;;;
MSM-Mean Exact;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;451;451,6666667;0;0,0000%;15,742504;0,0000%
3-MSM-Mean;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;461;;;;;
3-MSM-Mean;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;448;;;;;
3-MSM-Mean;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;448;452,3333333;0,666666667;0,1476%;15,742504;0,0000%
Buckets MSM-Mean: bucketsize:2;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;0;;;;;
Buckets MSM-Mean: bucketsize:2;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;0;;;;;
Buckets MSM-Mean: bucketsize:2;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;0;0;-451,6666667;-100,0000%;15,742504;0,0000%
Buckets MSM-Mean: bucketsize:3;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];15,742504;0;;;;;
