heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;;;;;
MSM-Mean Exact;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14103;;;;;;;;;;
MSM-Mean Exact;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14103;;;;;;;;;;
MSM-Mean Exact;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14162;14122,66667;0;0,00%;25,15564;0,00%;;;;;
3-MSM-Mean;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14156;;;;;;;;;;
3-MSM-Mean;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14281;;;;;;;;;;
3-MSM-Mean;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;14224;14220,33333;97,66666667;0,69%;25,15564;0,00%;;;;;
Buckets MSM-Mean: bucketsize:2;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;0;;;;;;;;;;
Buckets MSM-Mean: bucketsize:2;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;0;;;;;;;;;;
Buckets MSM-Mean: bucketsize:2;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;0;0;-14122,66667;-100,00%;25,15564;0,00%;;;;;
Buckets MSM-Mean: bucketsize:3;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;1;;;;;;;;;;
Buckets MSM-Mean: bucketsize:3;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;1;;;;;;;;;;
Buckets MSM-Mean: bucketsize:3;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;1;1;-14121,66667;-99,99%;25,15564;0,00%;;;;;
Buckets MSM-Mean: bucketsize:4;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;7;;;;;;;;;;
Buckets MSM-Mean: bucketsize:4;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483];25,15564;7;;;;;;;;;;
