heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;99530;;;;;;
MSM-Mean Exact;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;99298;;;;;;
MSM-Mean Exact;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;99823;99550,33333;0;0,00%;28,24806;0,00%;
3-MSM-Mean;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;99311;;;;;;
3-MSM-Mean;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;98691;;;;;;
3-MSM-Mean;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;98690;98897,33333;-653;-0,66%;28,24806;0,00%;
Buckets MSM-Mean: bucketsize:2;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;0;0;-99550,33333;-100,00%;28,24806;0,00%;
Buckets MSM-Mean: bucketsize:3;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;2;;;;;;
