heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;14422;;;;
MSM-Mean Exact;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;14367;;;;
MSM-Mean Exact;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;14586;14458,33333;27,851967;0;
Buckets MSM-Mean: bucketsize:2;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;6;;;;
Buckets MSM-Mean: bucketsize:2;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;3;;;;
Buckets MSM-Mean: bucketsize:2;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;3;4;27,851967;0;
Buckets MSM-Mean: bucketsize:3;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;14;;;;
Buckets MSM-Mean: bucketsize:3;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;12;;;;
Buckets MSM-Mean: bucketsize:3;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825, 0.15633, 0.030907];27,851967;12;12,66666667;27,851967;0;
Buckets MSM-Mean: bucketsize:4;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.28756, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;54;;;;
Buckets MSM-Mean: bucketsize:4;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.28756, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;54;;;;
Buckets MSM-Mean: bucketsize:4;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.28756, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;52;53,33333333;27,851967;0;
Buckets MSM-Mean: bucketsize:5;4;10;50words;1.0;[-0.068617, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756, 0.15633, 0.030907];27,851967;245;;;;
