heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 1.0293, 1.0293, 1.3719];95,664842;14;;;;
Buckets MSM-Mean: bucketsize:2;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 1.0293, 1.0293, 1.3719];95,664842;14;;;;
Buckets MSM-Mean: bucketsize:2;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 1.0293, 1.0293, 1.3719];95,664842;14;14;95,664842;95,339392;0,3414%
Buckets MSM-Mean: bucketsize:3;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.65608, 0.56086, 0.50658, 0.60983, 0.60983, 0.60983, 1.2135];95,339392;353;;;;
Buckets MSM-Mean: bucketsize:3;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.65608, 0.56086, 0.50658, 0.60983, 0.60983, 0.60983, 1.2135];95,339392;354;;;;
Buckets MSM-Mean: bucketsize:3;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.65608, 0.56086, 0.50658, 0.60983, 0.60983, 0.60983, 1.2135];95,339392;354;353,6666667;95,339392;95,339392;0,0000%
Buckets MSM-Mean: bucketsize:4;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.51993, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 0.60983, 0.60983, 1.3719];95,915902;2767;;;;
Buckets MSM-Mean: bucketsize:4;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.51993, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 0.60983, 0.60983, 1.3719];95,915902;2761;;;;
Buckets MSM-Mean: bucketsize:4;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.51993, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.60983, 0.60983, 0.60983, 1.3719];95,915902;2763;2763,666667;95,915902;95,339392;0,6047%
Buckets MSM-Mean: bucketsize:5;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.50658, 0.82483, 0.82483, 0.82483];95,650772;14668;;;;
Buckets MSM-Mean: bucketsize:5;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.50658, 0.82483, 0.82483, 0.82483];95,650772;14687;;;;
Buckets MSM-Mean: bucketsize:5;5;30;50words;1.0;[-0.5788, -0.58115, -0.57772, -0.57693, -0.57134, -0.56335, -0.55415, -0.53771, -0.51993, -0.49166, -0.44761, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.50658, 0.82483, 0.82483, 0.82483];95,650772;14690;14681,66667;95,650772;95,339392;0,3266%
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;30;50words;1.0;[0.16784, 0.12306, 0.2275, -0.70244, -0.57134, -0.83603, -0.82232, 0.477, -0.68639, -0.68639, -0.44761, -0.6697, -0.14305, -0.14305, 0.053328, -0.24633, 1.0804, 0.80783, 0.87865, 1.1037, 1.0726, 1.2386, 0.65608, 0.50658, 0.33847, 0.33847, 0.13033, 1.2135, 1.3719, 1.5038];106,741983;169;;;;
